atr42s1g00971,nc476s13g00685,ive10g02166,agr8s11g00652,spo4s8g00476,abr7s1g00070,da480s2g00912,ase9s8g01364,elg3s4g01414,aco40s3g00166,cs471s13g01524,afi49s4g02920,lc2s3g00020,cm170s12g00495,CdeChr20g00280,vvi161s16g00987,gbi44s5g00093,sgi44s5g02802,afi61s11g00054,,
atr42s5g00359,nc476s1g02158,ive12g00890,agr8s11g00433,spo4s13g00396,abr7s12g00149,da480s4g01023,ase9s5g02708,,aco40s16g00483,cs471s9g00285,afi49s1g01045,lc2s6g00483,cm170s1g01754,CdeChr33g00063,vvi161s4g00039,gbi44s1g00249,sgi44s11g00629,afi61s1110g00001,,ppa60s14g01033
atr42s5g00217,nc476s6g00720,ive12g00745,agr8s2g01142,spo4s5g00444,abr7s12g00179,da480s20g00505,ase9s5g02794,elg3s1g00414,aco40s16g00449,cs471s12g00702,afi49s3g00724,lc2s1g01917,cm170s4g01156,,vvi161s4g00289,gbi44s1g00515,sgi44s10g02066,,,ppa60s6g00650
atr42s5g00194,nc476s6g00724,ive12g00728,agr8s11g00504,spo4s8g00367,abr7s12g00181,da480s4g00992,ase9s5g02799,,aco40s5g00882,cs471s10g01119,afi49s3g00729,lc2s1g01907,cm170s2g03075,CdeChr20g00687,vvi161s9g00337,gbi44s9g00817,sgi44s5g00390,afi61s170g00015,smo62s64g00012,ppa60s20g00300
atr42s5g00847,nc476s4g01240,ive10g00060,agr8s3g01872,spo4s15g00081,abr7s12g00234,da480s8g01184,ase9s3g01727,elg3s2g01569,aco40s24g00285,cs471s13g00957,afi49s1g00547,lc2s17g00980,cm170s4g01064,CdeChr42g00230,,gbi44s3g01678,sgi44s7g02067,afi61s206g00018,smo62s56g00026,ppa60s10g00599
atr42s4g02516,nc476s10g01463,ive11g00324,agr8s1g00173,spo4s3g00346,abr7s12g00313,da480s5g00915,ase9s4g02704,,aco40s11g00677,cs471s15g00360,afi49s3g02188,lc2s9g00912,cm170s11g00067,CdeChr27g00377,vvi161s7g00553,gbi44s8g00827,sgi44s7g01933,afi61s1176g00001,smo62s115g00066,ppa60s2g00204
atr42s5g01044,nc476s1g02410,ive3g01382,agr8s2g00736,spo4s8g00225,abr7s12g00337,da480s20g00891,ase9s6g03215,elg3s1g00134,aco40s16g00548,cs471s7g00874,afi49s2g00156,lc2s11g00352,cm170s7g00815,CdeChr27g00341,,gbi44s5g02043,sgi44s7g02932,afi61s182g00028,smo62s25g00269,ppa60s4g00050
atr42s9g02575,nc476s2g02606,ive2g01292,agr8s5g00655,spo4s2g00971,abr7s12g00359,da480s20g00412,ase9s1g02702,elg3s4g00750,aco40s3g00574,cs471s9g01056,afi49s2g01382,lc2s8g01167,cm170s7g01333,,vvi161s2g00449,gbi44s4g02288,sgi44s4g01835,afi61s24g00051,smo62s19g00071,ppa60s15g00177
,nc476s11g00746,ive4g01232,agr8s4g00472,spo4s19g00270,abr7s12g00685,da480s4g00761,ase9s5g00607,elg3s6g00674,aco40s16g00240,cs471s8g01297,afi49s4g02483,lc2s3g00618,cm170s12g00145,CdeChr20g00160,vvi161s10g00892,,,,,
atr42s4g02005,nc476s4g00503,,agr8s7g01659,spo4s17g00318,abr7s12g00716,da480s4g00777,ase9s3g01555,elg3s1g00688,aco40s19g00265,cs471s8g00926,afi49s4g02025,lc2s15g01148,cm170s7g01062,CdeChr40g00073,vvi161s7g01482,,,,,
atr42s13g00560,nc476s7g00159,ive4g02972,agr8s4g00442,,abr7s12g00884,da480s20g00050,ase9s3g01494,elg3s1g00950,aco40s1g01222,cs471s1g00795,afi49s3g02111,lc2s12g00917,cm170s10g00720,CdeChr7g00494,vvi161s14g00813,gbi44s6g02252,sgi44s8g02372,afi61s4g00121,smo62s5g00165,ppa60s12g00686
,nc476s10g00500,ive11g01794,agr8s4g00284,spo4s5g00200,abr7s12g00894,da480s4g00813,ase9s10g00886,elg3s1g00845,aco40s11g00147,cs471s13g00201,afi49s3g00623,lc2s2g00254,cm170s4g00473,CdeChr29g00430,vvi161s1g00409,,,,,
atr42s1g02386,nc476s13g00441,ive3g00922,agr8s6g02333,spo4s12g00625,abr7s8g00002,da480s3g00371,ase9s3g01884,elg3s7g01199,aco40s6g00008,cs471s11g00334,afi49s3g01714,lc2s14g01416,,CdeChr17g00303,vvi161s4g00272,gbi44s9g02168,sgi44s6g03636,afi61s35g00049,smo62s109g00003,ppa60s17g00529
atr42s1g02452,nc476s13g00344,,agr8s3g02026,spo4s5g01061,abr7s8g00020,da480s14g01401,ase9s5g03396,elg3s8g00847,aco40s12g00804,cs471s6g01806,afi49s3g00883,lc2s17g01206,cm170s2g00001,CdeChr6g00191,vvi161s9g01104,gbi44s8g00002,sgi44s2g04063,afi61s368g00020,,ppa60s18g00695
atr42s9g00110,nc476s11g00428,ive4g01126,agr8s3g01924,spo4s12g00505,abr7s8g00070,da480s8g00976,ase9s5g03321,elg3s2g01352,aco40s14g00204,cs471s2g00240,afi49s1g00339,lc2s14g01198,cm170s2g00104,,vvi161s9g00133,gbi44s1g02410,sgi44s8g02078,,,
,nc476s5g00496,ive2g02947,agr8s8g00809,spo4s1g00149,abr7s8g00280,da480s7g01095,ase9s5g00595,elg3s5g00186,aco40s18g00574,cs471s2g02408,afi49s2g02132,lc2s18g00704,cm170s11g01064,CdeChr40g00367,vvi161s13g00215,,,,,
atr42s12g02066,nc476s4g00134,ive4g01016,agr8s1g00867,spo4s10g00653,abr7s8g00364,da480s6g00216,ase9s4g00664,elg3s2g01719,aco40s23g00388,cs471s5g00402,afi49s1g01994,,cm170s2g01418,CdeChr21g00532,vvi161s5g00385,gbi44s11g01535,sgi44s11g02378,afi61s15g00177,smo62s8g00528,ppa60s22g00195
atr42s8g01857,nc476s10g01423,ive7g01174,,spo4s10g00853,abr7s8g00435,da480s12g00637,ase9s2g03764,elg3s5g00347,aco40s4g00827,cs471s6g02605,afi49s2g03508,lc2s6g01580,cm170s3g02889,CdeChr8g00303,vvi161s6g00732,gbi44s1g03183,sgi44s1g04347,afi61s669g00003,smo62s1g00305,ppa60s11g00046
atr42s8g01887,nc476s2g01344,ive2g02029,agr8s11g00117,spo4s6g00349,abr7s8g00454,da480s9g00587,ase9s4g00304,elg3s5g00367,aco40s18g00472,cs471s2g01569,afi49s2g03547,lc2s18g01098,cm170s9g00609,CdeChr24g00205,,gbi44s4g00152,sgi44s3g03637,afi61s74g00014,smo62s8g00182,ppa60s21g00361
atr42s8g01962,nc476s5g01727,ive2g02077,agr8s8g02066,,abr7s8g00464,da480s7g01069,ase9s2g02911,elg3s5g00378,aco40s4g00801,cs471s2g01594,afi49s5g02062,lc2s6g01501,cm170s3g02109,CdeChr29g00325,vvi161s6g00777,gbi44s1g02845,sgi44s1g04830,afi61s32g00054,smo62s83g00069,ppa60s16g00406
atr42s8g02078,nc476s10g01612,ive2g01767,agr8s8g02148,spo4s10g00813,abr7s8g00495,da480s12g00586,ase9s5g00759,,aco40s4g00788,cs471s2g01701,afi49s5g00131,lc2s6g01333,cm170s3g02165,CdeChr40g00312,vvi161s13g00010,gbi44s5g00468,,,smo62s24g00277,ppa60s8g00606
atr42s1g01343,nc476s2g02148,ive12g01902,agr8s1g00537,spo4s10g00626,abr7s8g00668,da480s12g00887,ase9s2g02389,elg3s6g00601,aco40s4g00253,cs471s7g02075,afi49s5g00402,lc2s5g01000,cm170s3g01500,,vvi161s6g01094,,,afi61s129g00021,,ppa60s13g00392
atr42s4g00833,nc476s8g00957,,agr8s10g00753,spo4s7g00913,abr7s8g00756,da480s7g00252,ase9s5g00257,elg3s5g00560,aco40s14g00357,cs471s11g01006,afi49s3g02290,lc2s4g01943,cm170s4g02048,CdeChr37g00348,vvi161s18g00557,gbi44s12g00253,sgi44s2g03770,afi61s402g00002,smo62s10g00216,ppa60s1g01209
atr42s2g02818,nc476s10g01875,ive4g00680,agr8s1g00347,spo4s10g00719,abr7s8g00865,da480s12g00136,,elg3s14g00456,aco40s4g00152,cs471s15g00109,afi49s1g04264,lc2s9g00304,cm170s2g01294,CdeChr34g00456,vvi161s5g00026,,,afi61s92g00081,smo62s8g00542,ppa60s7g00016
atr42s2g02654,nc476s10g01858,ive4g00850,agr8s1g02619,spo4s10g00690,abr7s8g00896,da480s7g00363,ase9s5g00399,elg3s14g00403,aco40s18g00243,cs471s5g00148,afi49s5g01567,lc2s9g00398,,CdeChr6g00084,vvi161s7g00350,gbi44s5g01552,,afi61s531g00015,smo62s29g00090,ppa60s14g00067
atr42s1g02540,nc476s11g00856,ive12g01594,agr8s1g01370,spo4s1g00852,abr7s8g00996,da480s7g00435,ase9s2g03163,,aco40s4g00615,cs471s5g00403,afi49s1g01993,lc2s10g01147,cm170s10g00539,CdeChr21g00529,vvi161s5g00386,gbi44s8g01684,,,smo62s18g00010,ppa60s5g00983
atr42s1g02594,,ive12g01636,agr8s1g00469,spo4s1g00939,abr7s8g01013,da480s7g00477,ase9s2g03105,elg3s14g00721,aco40s18g00102,cs471s5g00479,afi49s1g01948,lc2s10g01125,cm170s10g00561,CdeChr20g00068,vvi161s7g00264,gbi44s12g01069,sgi44s2g02808,afi61s8g00204,smo62s5g00549,ppa60s18g00392
atr42s1g02619,,ive12g01656,agr8s4g00436,spo4s6g00122,abr7s8g01021,da480s7g00503,ase9s5g00791,elg3s14g00684,aco40s4g00569,cs471s15g00798,afi49s1g01922,lc2s10g01090,cm170s10g00571,CdeChr35g00390,vvi161s7g00243,gbi44s8g00922,sgi44s7g01865,afi61s2265g00002,,ppa60s5g00678
atr42s12g01070,nc476s3g01526,ive11g01208,agr8s3g01511,spo4s10g00646,abr7s8g01040,da480s15g00826,ase9s2g02151,,aco40s7g00552,cs471s2g00684,afi49s3g00327,lc2s17g00335,cm170s2g01909,CdeChr38g00036,vvi161s14g01504,gbi44s4g00344,sgi44s1g00466,afi61s10g00155,smo62s1g00530,ppa60s11g01077
atr42s1g02315,nc476s8g00681,ive12g01736,agr8s1g01136,spo4s1g00952,abr7s8g01051,da480s12g00312,ase9s5g01925,elg3s14g00669,aco40s18g00130,cs471s4g00055,afi49s1g02427,lc2s10g00951,cm170s10g00631,,vvi161s14g00278,gbi44s12g01258,sgi44s3g03945,,smo62s1g01101,ppa60s8g00700
atr42s2g02909,nc476s10g01399,ive11g00075,agr8s1g00020,spo4s1g01171,abr7s8g01183,da480s19g01942,ase9s2g03300,elg3s2g00009,aco40s18g00131,cs471s7g00032,afi49s6g00729,lc2s10g00029,cm170s11g00095,,vvi161s2g00811,,,,,
atr42s1g02500,nc476s11g00075,ive12g01569,agr8s6g02273,spo4s12g00564,abr7s9g00111,da480s9g00032,ase9s5g03380,elg3s2g01405,aco40s14g00176,,afi49s3g00818,lc2s14g01354,cm170s8g01674,CdeChr12g00371,vvi161s4g00226,gbi44s8g01487,sgi44s9g02420,,smo62s6g00081,ppa60s13g00189
atr42s12g01062,nc476s4g01017,ive1g01349,agr8s6g01974,spo4s12g00390,abr7s9g00313,da480s8g01120,ase9s6g02886,elg3s8g01032,aco40s6g00080,cs471s14g00373,afi49s1g00755,lc2s17g00529,cm170s2g00287,,vvi161s11g00690,gbi44s11g01442,sgi44s11g02320,afi61s1g00121,smo62s2g00767,ppa60s21g00170
atr42s2g02684,nc476s10g01853,ive11g00680,agr8s1g02967,spo4s1g00768,abr7s9g00330,da480s12g00201,ase9s4g00574,elg3s10g00478,aco40s12g00051,cs471s15g00032,afi49s2g00974,lc2s9g00377,cm170s2g01337,CdeChr35g00334,,gbi44s5g01863,,,,ppa60s15g00782
atr42s10g00896,nc476s7g01485,ive11g01592,,spo4s5g00699,abr7s9g00462,da480s8g00697,ase9s4g02426,elg3s8g00547,aco40s2g00801,cs471s6g02959,afi49s7g00971,lc2s13g00689,cm170s4g01479,CdeChr22g00392,vvi161s12g00480,gbi44s1g01029,,afi61s107g00004,smo62s18g00216,ppa60s11g00992
atr42s10g01530,nc476s3g01365,ive4g01491,agr8s7g01854,spo4s12g00066,abr7s9g00570,da480s8g00731,ase9s6g02762,elg3s2g01245,aco40s20g00536,cs471s2g01125,afi49s3g01159,lc2s14g00670,cm170s3g03006,CdeChr17g00075,,gbi44s2g00265,sgi44s5g00162,afi61s41g00007,smo62s51g00140,ppa60s13g00279
atr42s10g01137,nc476s7g01566,ive4g02369,agr8s9g00869,spo4s12g00244,abr7s9g00692,da480s8g00727,ase9s3g02590,elg3s2g01092,aco40s6g00803,cs471s7g01120,afi49s5g00018,lc2s13g01178,cm170s2g01089,,vvi161s19g00473,gbi44s4g00714,sgi44s3g02738,afi61s226g00006,smo62s51g00157,ppa60s11g00482
atr42s3g00367,,ive14g01532,agr8s12g00168,spo4s12g00283,abr7s9g00762,da480s8g00530,ase9s5g01418,elg3s2g01125,aco40s6g00820,cs471s4g00243,afi49s6g02081,lc2s1g02430,cm170s2g00804,CdeChr38g00119,vvi161s8g01309,gbi44s9g01611,sgi44s3g03442,afi61s318g00007,smo62s43g00046,ppa60s5g00278
atr42s13g01666,nc476s3g01904,ive1g01887,agr8s9g01026,spo4s11g00149,abr7s14g00099,da480s16g00671,ase9s3g02081,elg3s8g00573,aco40s12g00765,cs471s1g01709,afi49s5g00271,lc2s14g00864,cm170s2g00307,CdeChr14g00316,,gbi44s4g01112,sgi44s3g02345,afi61s35g00029,smo62s5g00161,
atr42s1g02033,nc476s9g00021,ive9g01447,agr8s6g01320,,abr7s14g00186,da480s4g00981,ase9s5g02823,elg3s1g00387,aco40s11g00547,cs471s8g01152,afi49s4g02619,lc2s15g01266,cm170s7g01149,CdeChr20g00169,vvi161s19g00237,gbi44s7g01066,,afi61s97g00018,smo62s1g00458,ppa60s20g00937
,nc476s6g00443,ive12g01055,agr8s2g00744,spo4s13g00366,abr7s14g00307,da480s20g00403,ase9s4g02672,elg3s6g01038,aco40s11g00665,cs471s10g01471,afi49s1g00224,lc2s1g02109,cm170s2g02414,CdeChr29g00166,vvi161s9g00208,,,,,
atr42s13g02083,nc476s1g03307,,agr8s8g01599,spo4s8g00573,abr7s14g00482,da480s4g00652,ase9s5g02497,elg3s6g00961,aco40s16g00340,cs471s8g01391,afi49s4g00595,lc2s15g01413,cm170s12g00323,CdeChr21g00412,vvi161s10g00704,gbi44s1g02672,sgi44s1g05004,afi61s78g00091,smo62s9g00022,ppa60s24g00333
atr42s1g01695,nc476s13g00627,,agr8s3g00816,spo4s8g00788,abr7s14g00591,da480s4g00508,ase9s3g02503,elg3s6g00815,aco40s11g00255,cs471s13g01237,afi49s4g01296,lc2s3g00343,cm170s13g00191,CdeChr37g00164,vvi161s12g00202,gbi44s1g02565,sgi44s1g04178,,smo62s91g00081,ppa60s8g00516
atr42s12g00316,nc476s2g00358,ive4g02508,agr8s3g00472,spo4s5g00181,abr7s14g00789,da480s20g00248,,elg3s1g00865,aco40s11g00105,cs471s13g00388,afi49s1g00044,lc2s1g02250,cm170s2g03131,CdeChr21g00549,vvi161s1g00269,gbi44s10g01500,,,,
atr42s3g01318,nc476s7g01144,ive11g01730,agr8s6g01048,spo4s13g00716,abr7s14g00884,da480s20g00258,ase9s3g02406,elg3s1g00873,aco40s11g00046,cs471s8g00838,afi49s4g02109,lc2s3g00692,cm170s13g00075,,vvi161s19g00438,gbi44s8g00764,sgi44s7g02017,,smo62s148g00014,
atr42s2g02961,nc476s10g01353,ive11g00147,agr8s1g02691,spo4s1g01147,abr7s11g00025,da480s19g01930,ase9s7g00607,elg3s2g01982,aco40s23g00395,cs471s15g00426,afi49s1g04481,lc2s9g00060,,CdeChr20g00024,vvi161s7g00625,gbi44s8g00144,sgi44s7g03064,afi61s155g00025,smo62s37g00033,ppa60s27g00329
atr42s10g00015,nc476s11g00523,ive7g00220,agr8s6g01736,spo4s17g00006,abr7s11g00144,da480s6g00127,ase9s4g00695,elg3s2g01801,aco40s12g00039,cs471s10g01645,afi49s2g01049,lc2s1g00444,cm170s5g00473,,vvi161s19g00320,gbi44s7g00475,sgi44s1g03211,afi61s48g00067,smo62s38g00172,ppa60s26g00518
atr42s4g00824,nc476s10g01299,ive6g02385,agr8s8g00677,,abr7s11g00339,da480s19g01432,ase9s7g00434,elg3s7g01054,aco40s19g00501,cs471s3g01166,afi49s6g00764,lc2s4g01762,cm170s8g00326,CdeChr1g00291,vvi161s18g00411,gbi44s3g02138,,afi61s228g00019,smo62s10g00259,ppa60s9g00192
atr42s3g02373,nc476s6g00825,ive14g01221,agr8s4g01549,spo4s9g00896,abr7s11g00392,da480s19g00677,,elg3s3g01598,aco40s12g00468,cs471s1g02046,afi49s2g00066,lc2s11g00435,cm170s6g01787,CdeChr16g00311,vvi161s4g01272,gbi44s6g02276,sgi44s7g00651,afi61s1g00426,,ppa60s3g00595
atr42s8g00693,nc476s5g00040,ive2g02624,agr8s11g01094,spo4s8g01013,abr7s11g00439,da480s9g00747,ase9s7g00841,elg3s5g00106,aco40s14g00559,cs471s2g02266,afi49s5g01923,lc2s18g00426,,CdeChr41g00070,vvi161s6g00398,gbi44s6g02080,,afi61s119g00003,smo62s103g00011,ppa60s8g01025
atr42s8g01596,nc476s5g00832,ive7g01006,agr8s8g01946,spo4s6g00936,abr7s11g00569,da480s18g00924,ase9s2g03925,elg3s5g00304,aco40s18g00504,,afi49s5g01858,lc2s6g01252,cm170s3g02941,CdeChr24g00142,vvi161s13g00109,gbi44s1g02632,,,smo62s41g00056,ppa60s2g01310
atr42s8g01565,nc476s12g00493,ive7g00982,agr8s8g01977,,abr7s11g00591,da480s19g01159,ase9s4g00282,elg3s10g00083,aco40s13g00191,cs471s2g01452,afi49s2g03565,lc2s6g00058,cm170s3g02917,CdeChr28g00173,vvi161s8g00343,,,,,
atr42s8g02178,nc476s12g00271,ive5g02156,agr8s5g01880,spo4s1g00507,abr7s11g00714,da480s19g01274,,elg3s10g00170,aco40s12g00112,cs471s14g00926,afi49s6g00004,lc2s5g01005,cm170s9g00363,CdeChr15g00303,vvi161s10g00540,gbi44s8g00023,sgi44s7g03254,afi61s11g00121,smo62s58g00029,ppa60s15g01030
atr42s1g00183,nc476s9g00569,ive12g02143,agr8s1g00699,spo4s1g00566,abr7s11g00761,da480s19g01140,ase9s7g00022,elg3s5g00997,aco40s13g00313,cs471s1g01454,afi49s1g03241,lc2s7g01029,cm170s4g01850,,vvi161s8g00442,,sgi44s2g00636,afi61s176g00011,,ppa60s21g00281
atr42s10g01960,nc476s3g01247,ive4g01828,agr8s1g00973,spo4s6g00076,abr7s11g00900,da480s6g00528,ase9s4g00738,elg3s5g00958,aco40s13g00384,,afi49s2g01092,lc2s1g00062,cm170s3g00430,CdeChr35g00187,vvi161s19g00336,gbi44s2g00945,sgi44s5g01794,afi61s528g00004,smo62s11g00247,ppa60s15g00705
atr42s9g01506,nc476s9g01214,ive6g02143,agr8s3g00232,spo4s13g00578,abr7s11g00962,da480s17g01200,ase9s4g02466,elg3s15g00709,aco40s5g01074,cs471s1g01117,afi49s3g00535,lc2s12g01171,cm170s9g00194,,vvi161s14g01442,gbi44s5g01969,,afi61s30g00051,smo62s7g00011,ppa60s2g00955
,nc476s11g00762,ive3g00701,agr8s1g00814,spo4s1g00820,abr7s11g00966,da480s19g01326,ase9s7g00356,elg3s2g01738,aco40s23g00376,cs471s15g01222,afi49s1g02457,lc2s19g00647,cm170s1g00457,CdeChr25g00359,vvi161s7g00211,,,,,
,nc476s6g01322,ive2g02366,agr8s8g00548,spo4s10g00953,abr7s11g01047,da480s9g00782,ase9s7g00770,elg3s5g01422,aco40s12g00179,cs471s2g02155,afi49s2g02989,lc2s18g00295,cm170s2g01512,CdeChr41g00161,vvi161s13g00354,,,,,
atr42s4g00490,nc476s10g01219,ive9g00857,agr8s10g00399,spo4s3g00370,abr7s10g00157,da480s5g02086,ase9s4g01482,elg3s13g00764,aco40s6g00509,cs471s3g00008,afi49s3g03095,lc2s2g01963,cm170s9g01413,,vvi161s18g00390,gbi44s10g01868,sgi44s11g01009,afi61s3g00310,smo62s60g00193,ppa60s16g00862
atr42s4g00681,nc476s10g01242,,agr8s5g01514,spo4s18g00163,abr7s10g00205,da480s6g00735,ase9s6g01148,elg3s3g01352,aco40s15g00217,cs471s3g00277,afi49s3g03043,lc2s4g01965,cm170s5g00092,CdeChr2g00384,vvi161s3g00951,,,,,
atr42s4g00462,nc476s8g01101,ive5g01572,agr8s1g02104,spo4s18g00368,abr7s10g00552,da480s6g00842,,elg3s10g00834,aco40s20g00516,cs471s3g01836,afi49s5g00735,lc2s5g01133,cm170s1g03272,CdeChr15g00095,vvi161s1g00546,gbi44s2g01309,sgi44s1g02787,afi61s74g00087,smo62s78g00075,ppa60s2g01592
atr42s4g00461,nc476s8g01102,ive10g01130,agr8s4g01873,spo4s18g00370,abr7s10g00553,da480s6g00843,ase9s4g00892,elg3s10g00833,aco40s20g00517,cs471s3g01837,afi49s5g00734,lc2s7g00291,cm170s11g01507,CdeChr15g00094,,gbi44sctg8633g00001,sgi44s11g00769,afi61s183g00014,smo62s15g00012,ppa60s25g00469
atr42s3g01834,nc476s4g01482,ive8g00046,agr8s5g01852,spo4s9g00609,abr7s10g00653,da480s18g00071,ase9s4g01015,,aco40s6g00308,cs471s6g01757,afi49s2g01258,lc2s11g01509,cm170s5g01104,CdeChr35g00221,vvi161s16g00181,gbi44s1g00369,sgi44s6g02042,afi61s3g00212,smo62s66g00117,ppa60s22g00143
atr42s12g00209,nc476s11g01041,ive11g02035,,spo4s19g00228,abr7s10g00667,da480s18g00043,ase9s4g01039,elg3s3g01424,aco40s20g00378,cs471s3g01505,afi49s1g04317,lc2s7g00063,cm170s11g01377,CdeChr15g00017,vvi161s4g00195,gbi44s8g01924,,afi61s5g00205,smo62s189g00017,ppa60s1g01723
atr42s6g00515,nc476s2g01004,ive6g00284,agr8s8g01200,spo4s4g00586,abr7s18g00083,,ase9s1g01429,elg3s7g00889,aco40s1g01425,cs471s7g00625,afi49s4g00465,lc2s3g02128,cm170s6g00844,CdeChr2g00208,vvi161s17g00120,gbi44s1g01561,sgi44s11g01014,,smo62s14g00193,ppa60s2g01495
atr42s6g00719,nc476s3g00470,ive12g00014,agr8s12g00827,spo4s4g00529,abr7s18g00132,da480s14g01021,ase9s1g00982,,aco40s1g01364,cs471s1g03117,afi49s4g00564,lc2s3g02004,cm170s3g01571,CdeChr2g00238,vvi161s7g01063,gbi44s3g01947,sgi44s11g00938,afi61s97g00016,smo62s128g00013,ppa60s17g00707
atr42s4g02503,,ive9g00151,agr8s2g01406,spo4s18g00041,abr7s18g00200,da480s5g01914,ase9s6g01273,elg3s10g00288,aco40s15g00159,cs471s11g01241,afi49s3g01648,lc2s2g02080,cm170s2g00964,CdeChr2g00319,vvi161s7g01885,gbi44s1g00120,sgi44s6g01973,afi61s93g00011,smo62s12g00249,ppa60s14g00760
atr42s10g01743,nc476s1g02926,,agr8s7g01788,spo4s10g00040,abr7s18g00309,da480s9g00406,ase9s3g01155,elg3s3g01460,aco40s6g00723,cs471s2g00903,afi49s1g01023,lc2s14g01053,cm170s6g00987,CdeChr5g00533,vvi161s14g00923,,,,,
atr42s6g02081,nc476s3g01486,ive1g03207,agr8s2g00383,spo4s7g00572,abr7s18g00611,da480s4g00138,ase9s1g01825,,aco40s1g00662,cs471s9g01329,afi49s4g01573,lc2s3g01402,cm170s4g02311,CdeChr22g00121,vvi161s5g01348,,,,,
atr42s6g02299,nc476s1g00729,ive6g02615,,spo4s4g00891,abr7s18g00670,da480s14g00807,ase9s1g02425,elg3s2g00108,aco40s1g00700,cs471s9g01214,afi49s6g00668,lc2s15g00656,cm170s3g03111,CdeChr22g00141,vvi161s5g01576,,,,,
atr42s11g01911,nc476s13g00033,,agr8s3g00067,spo4s5g00227,abr7s18g00725,da480s4g00254,ase9s8g01799,elg3s2g00182,aco40s1g00775,cs471s14g00138,afi49s1g01475,lc2s2g01363,cm170s3g00351,CdeChr12g00415,vvi161s1g00055,gbi44s7g01338,,afi61s19g00142,smo62s15g00080,ppa60s10g00006
atr42s11g01850,nc476s1g00138,ive13g00096,agr8s3g00050,spo4s7g00565,abr7s18g00732,da480s14g00578,,elg3s8g00338,aco40s5g00695,cs471s14g00162,afi49s1g01626,lc2s4g01458,cm170s5g00682,CdeChr12g00020,vvi161s7g02062,gbi44s7g01253,sgi44s3g01627,afi61s6g00245,smo62s75g00078,ppa60s10g00023
atr42s2g02242,nc476s1g00123,ive7g01327,agr8s3g00043,spo4s10g00177,abr7s18g00740,da480s4g00272,ase9s1g02584,elg3s5g00624,aco40s1g00769,cs471s8g00252,afi49s2g00122,lc2s2g01540,cm170s9g01203,CdeChr20g00462,,gbi44s8g02030,sgi44s7g01202,afi61s5g00124,smo62s105g00024,ppa60s5g00397
atr42s11g01114,nc476s1g01577,ive7g01710,agr8s3g00157,spo4s4g01066,abr7s18g00812,da480s14g00708,ase9s8g00630,elg3s2g00293,aco40s1g00818,cs471s10g00162,afi49s5g00983,lc2s2g00572,cm170s4g00712,CdeChr21g00159,,gbi44s6g00876,sgi44s3g02201,afi61s1527g00003,smo62s17g00237,ppa60s15g00307
,nc476s1g02416,ive5g00479,agr8s6g00545,spo4s10g00275,abr7s18g00836,da480s4g00404,ase9s1g01784,elg3s2g00406,aco40s1g00868,cs471s10g00261,afi49s5g00830,lc2s18g00662,cm170s5g01501,CdeChr19g00672,vvi161s7g01788,,,,,
atr42s12g00044,nc476s7g00931,ive4g03216,agr8s4g02421,spo4s3g00299,,da480s18g00005,ase9s2g00371,elg3s13g00588,aco40s1g00195,cs471s3g01323,afi49s2g03343,lc2s7g00012,cm170s11g01332,CdeChr39g00245,vvi161s7g02119,gbi44s8g01347,,,smo62s16g00080,
atr42s8g01150,nc476s2g01335,ive7g00216,agr8s8g00872,spo4s10g00889,,da480s9g00684,ase9s4g00241,elg3s5g01256,aco40s12g00145,cs471s2g02462,afi49s2g01629,lc2s16g01165,cm170s11g01098,CdeChr41g00029,vvi161s13g00519,gbi44s5g00328,,,,
atr42s4g01255,nc476s10g01121,ive10g00895,agr8s4g02064,spo4s4g00175,,da480s6g00685,ase9s6g01483,elg3s3g01053,aco40s15g00254,cs471s11g00611,afi49s3g02548,lc2s4g01868,cm170s8g00173,CdeChr18g00021,vvi161s7g01310,gbi44s12g01295,sgi44s3g03998,,smo62s76g00018,
atr42s13g01679,nc476s1g02620,ive4g01921,agr8s12g00068,spo4s5g00881,,da480s5g02377,ase9s3g02194,elg3s8g00863,aco40s19g00026,cs471s3g02745,afi49s2g01985,lc2s1g02282,cm170s2g03111,CdeChr25g00045,vvi161s18g00767,gbi44s1g03209,,afi61s13g00097,smo62s131g00033,ppa60s14g00027
atr42s3g00375,nc476s1g00554,ive2g00280,agr8s12g00171,spo4s12g00276,,da480s16g00910,ase9s5g02866,elg3s2g01482,aco40s19g00077,cs471s3g02572,afi49s3g00006,lc2s6g00178,cm170s2g00799,CdeChr41g00527,vvi161s6g00223,gbi44s6g02032,sgi44s7g00509,afi61s59g00074,smo62s49g00025,ppa60s6g01117
atr42s6g00437,nc476s7g01416,ive1g00477,agr8s8g01164,spo4s7g00640,,da480s5g01682,ase9s7g01825,elg3s7g00909,aco40s20g00030,cs471s7g00579,afi49s4g00416,lc2s3g02161,cm170s6g00831,CdeChr4g00210,vvi161s17g00102,gbi44s5g00757,sgi44s10g01895,afi61s11g00132,smo62s26g00320,ppa60s1g00259
atr42s7g00185,nc476s12g00974,ive2g01325,agr8s10g01211,spo4s20g00491,abr7s1g00051,da480s2g00950,,elg3s11g00792,aco40s8g00209,cs471s4g02052,afi49s4g00193,lc2s15g00834,cm170s3g02770,CdeChr42g00260,,gbi44s10g00944,sgi44s10g01762,afi61s262g00010,smo62s5g00620,ppa60s16g00977
